参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤深深看了陆夜一眼，道，“那就证明给我和秦家上下所有人看，你陆夜有能力照顾好清璃！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜道：“如何证明？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,秦无伤身躯前倾，眼神盯着陆夜，一字一顿道：“由你自己去解决陆家的危机！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“当然，你撑不住的时候，可以来找我帮忙，可若如此，事后你得跟我回秦家！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,声音回荡房间，气氛变得寂静压抑。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一直在冷眼旁观的秦文豹呼吸一窒，强烈感受到从父亲身上散发出的压迫感。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,却见陆夜不假思索道：“我答应！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,作为家主，陆家的危机自然需要由他来解决，哪怕秦无伤不这么要求，他也会这么做。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“好气魄！我家清璃的眼光，的确有独到之处！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,秦无伤挑起大拇指，眼前的少年，隐然已有陆星移的一些风采！,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜认真道：“于清璃姑娘而言，伯父是一位用心良苦的好父亲！于我而言，伯父是一个通情达理的好长辈！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤不禁大笑，老怀大慰。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,秦文豹笑不出来，沉着脸不说话。,4,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜若成功了，自然再无人敢反对陆夜和妹妹的婚事。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,若陆夜失败了，无非是去秦家当赘婿，到头来，还是他秦文豹的妹夫！,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“大舅哥，别绷着脸，格局打开点，不管怎样，咱们以后终究还是一家人，来，笑一个！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜笑着拍了拍秦文豹肩膀，很不见外。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,秦文豹：“桀桀桀！”,16,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜：“……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“伯父，若我猜测不错，您此次占用我陆家祖地的举动，恐怕另有隐情吧？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜忽地问道。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不错！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤赞许地看了陆夜一眼。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“八天前，贪狼关一战的消息传回，我便第一时间掌控了此地。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不出我所料，在此期间，一些人盯上了你们陆家祖地，想要趁虚而入。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他袖袍一挥。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,足足六颗血淋淋的人头突兀地出现，摆在桌子上。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜眼眸一凝，“他们是？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“有潘家门下的两条狗，有苍州悬镜司豢养的两个死士，剩余的两个分别来自云河郡城李家和方家。”,6,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤说得轻描淡写，“这六人算是小头目，我留着他们的首级有用，还有一些无足轻重的角色，早已被处理掉。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜顿时明白，原来秦无伤先一步霸占赊月楼、控制陆家祖地，为的就是防止外敌趁火打劫！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“也好让你安心，我这么做，除了因为你的缘故之外，也和你二叔陆星移分不开关系。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤袖袍一挥，那些首级凭空消失不见。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“我二叔？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤点头，“你二叔和贪狼关一战的牵扯极大，另有不为人知的隐情，我也在打探此事，以后获悉真相时，自会告诉你。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜心中一沉，果然不出自己预料，贪狼关一战内幕重重！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“正事谈完了，接下来咱们算账。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤笑吟吟道，“今天若不把账算清楚，你小子心中恐怕也不放心。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他从袖口拿出一本账簿，“你且看看。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜倒也不客气，拿起账簿翻阅起来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,半晌后，他眉头悄然皱起。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,账目不对！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,秦无伤眼神微妙，“最近三年，赊月楼的生意一直由你大嫂潘盈袖亲自打理，但是当我盘查这三年账目时却发现，所有的收入少了两成。”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“也就是少了一千一百枚精金！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“换而言之，真正贪墨赊月楼收入的，反倒是你们陆家的人。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜沉默了。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,仅仅三年，就少了一千一百枚精金！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这可是一笔不小的数目。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,在大乾境内，一枚精金能换一百枚精银，足抵得上普通人家十年开销！,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,昨天的时候，陆夜就知道，潘盈袖在挑唆自己找秦无伤算账这件事上，不安好心。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,滑稽的是，当算完账后，却算到了潘盈袖身上！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“千防万防，家贼难防，若非伯父点拨，我怕是还蒙在鼓里。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜叹了一声。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,又闲聊片刻，陆夜起身告辞。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,今天除了要拜访秦无伤之外，他还另有事情要做。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“昏睡这三年，从最风光处跌落泥潭，沉寂于微末。而今醒来，又遭逢宗族大难，真是难为这小子了。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“还好，身上的风骨没丢，反倒更胜往昔！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,目送陆夜身影离开，秦无伤不由发出一声感慨。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“看来，道兄对清璃丫头的未来夫君很满意啊。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,却见侧门中，忽地走进一个女子，布衣荆钗，相貌平庸，唯有一对灵眸明秀澄澈。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦文豹上前拱手见礼：“侄儿见过柳姨。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,女子名唤柳妗，看似貌不起眼，实则是一位道行深不可测的前辈高人。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,便是他父亲，也礼让三分！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,秦文豹很识趣，转身离开，把房间留给父亲和柳妗。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“直说吧，我并不看好陆夜此子。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,柳妗声音悦耳，不疾不徐，“他行事太过鲁莽，说难听点，道兄这次若真的想对他不利，以他那点修为，和上门送死有什么区别？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,上门送死？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤眼神古怪，道：“有没有可能他是有备而来，故而底气十足？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,柳妗忍不住笑了，道：“这世上，什么依仗能够让一个引灵境的小家伙，敢无惧来自一位人间武宗的威胁？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,秦无伤不置可否。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,柳妗认真道：“我无意当恶人去拆散这桩婚事，不过，我得提醒道兄，清璃如今已是九御剑宗掌门亲传弟子！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“她的天赋极为特殊，未来完全有机会走出大乾，前往灵苍界最顶级的古老道统中修行！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“若因为一纸婚书，羁绊住清璃的前途，这后果你愿意看到？”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,秦无伤摇头大笑起来，霸气十足道：“我更相信清璃的眼光，哪怕陆夜以后泯然众人，也是我秦无伤的女婿！我保他一世无忧！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,柳妗摇头不语，明显不认可。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“放心吧，我也当过很多年上门女婿，清璃母亲的地位比我高到不知哪里去了。”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,秦无伤笑眯眯道，“虽然我俩最终没能在一起，可我们好歹有过一段恩爱的时光，还生了清璃这样出色的女儿，人生如此，还图什么完满？”,5,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,柳妗：“……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,好啊，秦无伤这曾经的上门赘婿，原来和陆夜那小子共情上了！,9,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,烟雨濛濛。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜一手负背，一手撑着油纸伞，朝天河郡城城主府的方向行去。,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,雨水淅淅沥沥，伞沿滴水成帘。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“半个月时间……事情还真是有些棘手……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜思忖。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,离开陆家祖地时，秦无伤曾谈起，半个月后，他就会离开，若陆夜要开启秘境，最好选在他离开之前！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜很清楚，一旦没有秦无伤坐镇，陆家祖地势必会引来外敌入侵。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不过，倒也并非没有解决的办法，待我做好准备，再去开启祖地秘境也不迟。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜暗道。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,要开启陆家祖地秘境，有两个条件。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,其一是陆家祖传铜印。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,其二则是一块被称作“玄金玉牒”的宝物。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,缺少了哪一件，都无法开启秘境。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,很久以前，陆家一位先祖带着“玄金玉牒”离开，就此没了消息。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,也因此，近百年来，陆家再无人能进入那处秘境。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,不过，陆夜在域外战场闯荡的时候，意外见到了宗族那位先祖，也因此获得了玄金玉牒，最终带了回来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,如今，陆夜既是家主，执掌祖传铜印，又有玄金玉牒，已经拥有开启秘境的机会。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“田叔不在？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,当陆夜抵达城主府时，却被告之，城主田博雄外出办事，不确定何时能归来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜不禁皱眉。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,城主田博雄，乃是他爷爷所收的义子，少年时就在陆家做事，和陆夜父辈的关系极好。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,田博雄当初能够担任城主职务，也离不开陆家的鼎力支持。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,昨天是陆家那些战死老人的头七，可直至昨天，和陆家关系密切的田博雄，却一直不曾前来陆家拜祭，这明显不合常理。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜这次前来拜访，就是想摸清楚田博雄的态度！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“罢了，我改天再来。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜正欲离开，却被叫住。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜，这封信乃是我家大人所留，说是若有陆家之人前来，便将这封信拿出来。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,城主府管家“云腾”忽地拿出一封信，递给陆夜。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜打开信封一看，眉头顿时皱起。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,信上只写着四个字：怀璧其罪！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“呵，原来田叔也看上我陆家祖地了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜眸光变冷。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,怪不得田博雄昨天不来陆家祭拜，原来根子出在这。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,云腾认真道：“大人承诺，若陆家做出取舍，大人舍得一身剐，也要为陆家扛住这一场灾祸！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“是么，你家大人可真是让我刮目相看。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜一声感叹。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,犹记得，田博雄还曾指点幼时的自己修行，陪自己切磋武道。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,谁能想到，这样一位和蔼可亲的长辈，却在陆家遭难时露出另一副面孔？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,嗤啦！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜一把撕碎信纸，纸屑飞洒，笑道：“回头你告诉田博雄，我陆夜明白他的态度了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,转身而去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“待你陆家撞破头时，自会乖乖地跪在我城主府前求救！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,云腾望着陆夜背影渐隐于雨雾，唇角泛起一抹冷笑。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“大人，陆夜已经离开。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,城主府，一座湖泊前，云腾弯着腰，恭敬地把刚才和陆夜见面的事情说出，不敢丝毫隐瞒。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,田博雄身影消瘦，一袭布袍，八字胡，面容刚毅，手握鱼竿，正静静坐在烟雨笼罩的湖畔前垂钓。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,半晌，田博雄才轻声叹息道：“是我对不住陆家啊。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,云腾连忙道，“大人好心为陆家着想，已仁至义尽，怪也只能怪那陆夜不识好歹！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,田博雄摇头道：“陆夜这孩子必然认定，我居心叵测，在打陆家祖地的主意，他哪里知道，陆家祖地早被潘家盯上。”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“我让他交出陆家祖地，最终还是得交给潘家，如此才能恳请潘家网开一面，给陆家一条活路。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“可惜……他终究还是太年轻，不明白在生死存亡面前，该如何做抉择。”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,田博雄又叹了一声，充满遗憾。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,云腾犹豫了一下，低声道：“大人，恕小的斗胆问一句，之前为何要放陆夜离开？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,哗啦！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,湖泊中，一条仅拇指大小的青鱼被钓起来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,田博雄眉头微皱，旋即笑起来，道，“区区陆夜，就像这一尾不起眼的小青鱼，掀不起风浪，也改变不了大局！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一甩杆，小鱼重新被抛回湖泊，只溅起一串不起眼的水花，湖水转瞬恢复平静。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆家毕竟曾有恩于我，在这一场风波还未分出胜负前，站在岸上垂钓，总比亲自下水要好。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,田博雄拿起茶杯，轻啜了一口。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这一场针对陆家的风波，牵扯极大，各大势力都已盯上陆家祖地。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,但不管最终谁能获胜，陆家早已是餐桌上的肥肉，注定改变不了被分食的下场！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,天色阴晦，细雨如丝。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“果然，人世苦难，最能辨别人心善恶，我陆家遭逢大难，那些魑魅魍魉便一一原形毕露了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,街巷上，陆夜撑着油纸伞，眉峰凝着一抹化不开的冷意。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,城主田博雄的态度，虽然让他寒心，但却谈不上失望。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他此去城主府，原本就不是为了求助，仅仅只是为了摸清楚田博雄的态度罢了。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“谁是敌人，谁是朋友，倒是可以借此机会一一验证，拉一份清单！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“眼下时间还早，接下来，再去天河学府走一遭。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜做出决断。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,在大乾境内的每一座城池，皆开设有修行学府，专门教授修行之法。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,天河郡城的天河学府，便是官方学府之一。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,在大乾，唯有在学府中修行，才能获得参与科举的机会。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜当初为了参加科举，便曾在天河学府修行五年，在这里留下许多回忆。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“老高！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,来到天河学府大门处，陆夜一眼看到一个熟人，笑着打招呼。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,那是个身影矮小的老头，正蹲在那抽一袋旱烟，眯着眼睛，满脸惬意，烟锅火星明灭，映得他鼻尖通红。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,闻言，老头一呆，旋即一蹦三尺高，惊喜道：“是你这小子！哈哈，传闻果然是真的，你小子诈尸还魂了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“什么诈尸还魂，我根本就没死。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜笑着拿出一壶酒，隔空抛给老头。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,老高只是天河学府一个守门的角色，在陆夜上学的那些年，多亏了老高睁只眼闭只眼，才能经常翘课回家。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,而他为了报答老高，经常把爷爷私藏的好酒偷出来给老高。,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“嘿嘿，大难不死，必有后福！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,老高抱着酒壶猛嗅一口，眉开眼笑，乐呵呵问道，“陆二少，你这次来学府做什么？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜并未隐瞒，道：“来拜会府主大人。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“今天怕是不行。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,老高猛嘬一口旱烟，浑浊的眼珠朝学府内一瞥，压低嗓音道：“你看那。”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜顺着他的目光望去，就见一株苍松下，停着一辆通体墨黑的辇车，由四头神骏非凡的墨鳞马拉着。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“缉妖司的追风撵？”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜讶然。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那一辆辇车侧面绘制着一幅“刀剑交错，妖魔俯首”的猩红图案。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这是大乾缉妖司独有的标识。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不错。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,老高神神秘秘道，“今天清晨，缉妖司来了一位大人物，疑似是一位红袍将军！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜眼眸一凝。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,大乾设有三司，分别是悬镜司、缉妖司、钦天司。,5,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,三司中人，依照官位品阶，划分为绿袍、银袍、金袍、红袍、紫袍五个等级。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,紫袍最为尊贵显赫。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,绿袍官位最低。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而身着红袍者，皆有将军职衔，在整个大乾都属于顶级的存在！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,据陆夜所知，相比起来，缉妖司的红袍将军更为特殊。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,不止权柄滔天，自身道行也极为恐怖，每个皆是从尸山血海中杀出来的绝世狠人！,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,天河郡城只是苍州境内的一座中型城池而已，究竟发生了何事，竟会引来缉妖司的一位红袍将军？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜大感奇怪。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,须知，这种存在只要出动，往往意味着，要么是某个诡夜禁区发生了大事。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,要么是有妖王出没。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,无论哪种可能，事态都很严重！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而陆夜还想到了另一种可能——
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那神秘的红袍将军驾临天河郡城，会否也和陆家祖地有关？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一边想着，陆夜已迈步来到了那一辆追风撵旁边，盯着车厢凝神端详起来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“府主大人早已下令，今日闭门谢客，应该就和缉妖司那位神秘大人有关。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,老高跟过来，善意提醒道：“你啊，还是改天再来吧。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“来都来了，不试一试怎么行？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜笑道，“哪怕见不到，故地重游一番也未尝不可。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他再看了一眼追风撵，便迈步朝天河学府内行去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“若陆星移还在，这一场因为陆家祖地引起的满城风雨，何须由一个单薄少年去化解？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,老高心中一叹。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,他一边抽旱烟，默默目送陆夜渐行渐远，那张苍老脸庞弥漫在烟雾之中。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,天河学府修建在半山腰。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,有一条宽敞的青石道路蜿蜒而上。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“那一辆追风撵上，竟然残留着一丝焚心蛊魔的血气，难道说，缉妖司那位红袍将军，曾和一位焚心蛊魔交手？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜独自行走在青石道路上，心中颇不平静。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,在灵苍界域外战场浴血奋战那三年，他见过不知多少恐怖可怕的域外神魔。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,故而对域外神魔不同族群的气息了如指掌。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,焚心蛊魔，便是域外神魔阵营中的“蛊魔”一脉！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,刚才在靠近那一辆追风撵时，陆夜几乎第一时间就感应到一丝焚心蛊魔的血气，心中自然无法平静。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,须知，域外战场发生的那一场持续百年的大战，为的就是阻挡域外神魔大军入侵。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,谁能想象，在这位于灵苍界的大乾国境内，竟然疑似出现了焚心蛊魔的踪迹？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“希望是我猜错了。”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜暗道。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,目前他还无法真正确定真相，不好妄做揣测。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,远远地，已经能看到许多鳞次栉比的古老建筑，许多天河学府的弟子穿行其中。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“数年不来，天河学府倒是没有多少变化……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“就是不知道，薛白松这位府主大人，如今是否还感念我陆家的救命之恩。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜思忖。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,薛白松，便是天河学府的府主。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,很多年前，陆夜的二叔陆星移曾救过薛白松一命。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,薛白松曾发誓，以后陆家凡有差遣，必万死不辞。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜虽然诈尸还魂，可属于他的风光，早已过去！数风流人物，还看今朝！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“从云端跌落深渊，哪怕陆夜活过来，心中也不好受吧？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一阵嘈杂的声音远远传来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,就见前方半山腰位置，矗立着一座高有九丈的石碑。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一群约莫十三四岁的少年少女，正在石碑前议论纷纷。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“风光不再？跌落深渊？在世人眼中，我已经沉沦到这般地步了么。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜啼笑皆非。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那些少年少女涉世不深，言谈无忌，陆夜倒也不至于因此介怀。
